season,match_date,period,timestamp,team,player,play_pattern,under_pressure,body_part,type,technique,first_time,one_on_one,open_goal,key_pass_id,start_location_x,start_location_y,distance,angle,goal,statsbomb_xg
2018/2019,2019-04-06,1,00:09:47.594,Barcelona,Philippe Coutinho Correia,Regular Play,0,Right Foot,Open Play,Normal,0,0,0,7aa8e1fc-b09a-479e-8318-7802317c3d82,92.7,23.2,32.05510879719487,12.183736535669118,0,0.017964056
2018/2019,2019-04-06,1,00:13:30.158,Barcelona,Jordi Alba Ramos,Regular Play,0,Left Foot,Open Play,Half Volley,0,1,0,be88f86b-70f5-41b6-a940-7f901cbfcff9,109.9,34.5,11.500434774390047,34.79906789202001,0,0.36847878
2018/2019,2019-04-06,1,00:19:01.873,Barcelona,Luis Alberto Suárez Díaz,From Counter,0,Right Foot,Open Play,Volley,1,0,0,,107.3,55.3,19.884164553734713,14.9923111295987,0,0.04368854
2018/2019,2019-04-06,1,00:22:51.596,Barcelona,Lionel Andrés Messi Cuccittini,From Free Kick,0,Left Foot,Free Kick,Normal,0,0,0,,94.3,46.8,26.58439391823707,16.57595809496248,0,0.08146607
2018/2019,2019-04-06,1,00:26:58.611,Barcelona,Philippe Coutinho Correia,From Free Kick,1,Right Foot,Open Play,Normal,0,0,0,ff186539-36c0-457c-87d2-05bf62a89efe,103.4,38.4,16.67693017314637,26.86851435780751,0,0.3212127
2018/2019,2019-04-06,1,00:43:33.514,Barcelona,Lionel Andrés Messi Cuccittini,From Throw In,0,Left Foot,Open Play,Normal,1,0,0,38c41a29-1f40-4b0a-9363-7ca507bccebe,102.8,49.1,19.458931111445974,20.778207886134922,0,0.06114103
2018/2019,2019-04-06,1,00:44:54.238,Barcelona,Ivan Rakitić,From Free Kick,0,Right Foot,Open Play,Normal,0,0,0,e30e0a1a-eb73-4a5c-9c7b-ee46d7dfd208,89.8,51.9,32.459975354272835,13.106876349583576,0,0.02306382
2018/2019,2019-04-06,1,00:47:45.608,Barcelona,Philippe Coutinho Correia,Regular Play,0,Head,Open Play,Normal,0,0,0,4f3630b0-ef6f-4707-bfa2-351553b63de0,113.0,32.6,10.186265262597473,32.54210705217215,0,0.07861631
2018/2019,2019-04-06,2,00:06:08.222,Barcelona,Sergio Busquets i Burgos,From Throw In,0,Left Foot,Open Play,Normal,1,0,0,6bf4f2fb-1077-4e86-a54b-6dcf3913afbc,96.3,35.0,24.221684499637927,18.378004669822303,0,0.056829132
2018/2019,2019-04-06,2,00:08:18.112,Barcelona,Luis Alberto Suárez Díaz,From Free Kick,0,Right Foot,Open Play,Normal,0,0,0,cb2913f2-3be8-4d4c-9fcf-26d8bfdc7751,103.2,30.3,19.399226788715055,20.455084058959198,0,0.043521103
2018/2019,2019-04-06,2,00:10:47.236,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,27680d96-4547-410b-8c5a-afccdf2a40a0,99.8,44.1,20.61188977265307,21.566656502615235,0,0.10361094
2018/2019,2019-04-06,2,00:15:25.878,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,0c2d779e-f297-4c90-8059-0e89e66fc4e6,102.6,37.2,17.62384748004817,25.290972878127313,0,0.0811566
2018/2019,2019-04-06,2,00:16:43.291,Barcelona,Luis Alberto Suárez Díaz,From Counter,1,Right Foot,Open Play,Normal,1,0,0,5f10186c-ee63-452b-9bb7-b3d2daad666c,108.0,30.8,15.120846537148639,24.297618185160875,0,0.39895886
2018/2019,2019-04-06,2,00:17:40.995,Barcelona,Ivan Rakitić,From Throw In,0,Left Foot,Open Play,Normal,0,0,0,,91.8,37.1,28.34872131155125,15.982858243562236,0,0.017191486
2018/2019,2019-04-06,2,00:18:22.301,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,0,0,0,5f35f2f3-1390-4a5c-9edb-2ad172cd1216,98.0,44.8,22.517548712060112,19.718844206620936,0,0.08214762
2018/2019,2019-04-06,2,00:23:44.355,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Left Foot,Open Play,Normal,1,0,0,,99.5,40.7,20.511947737842938,22.057712407635343,0,0.12018121
2018/2019,2019-04-06,2,00:23:46.675,Barcelona,Malcom Filipe Silva de Oliveira,Regular Play,0,Left Foot,Open Play,Half Volley,1,0,0,,107.5,53.6,18.47187050625897,17.092328955598166,0,0.09467776
2018/2019,2019-04-06,2,00:38:23.514,Barcelona,Lionel Andrés Messi Cuccittini,From Throw In,0,Left Foot,Open Play,Normal,0,0,0,a48a7503-7728-43cb-97e7-d782af910ddf,99.5,47.8,21.933763926877667,19.42366558179788,0,0.038144685
2018/2019,2019-04-06,2,00:39:15.984,Barcelona,Luis Alberto Suárez Díaz,From Throw In,0,Right Foot,Open Play,Normal,0,0,0,64afc220-123c-45c5-9cb2-cf68de17e30c,97.7,28.8,24.954558701768295,16.38519448085859,1,0.033297762
2018/2019,2019-04-06,2,00:40:59.382,Barcelona,Lionel Andrés Messi Cuccittini,From Counter,0,Left Foot,Open Play,Normal,0,0,0,,108.0,42.5,12.257650672131263,35.567944973265135,1,0.1180446
2004/2005,2004-10-24,1,00:05:00.105,Barcelona,Anderson Luís de Souza,From Goal Kick,0,Right Foot,Open Play,Normal,0,0,0,040bebf4-5379-46f6-bc4f-da0a893d96a1,96.3,50.5,25.921805492673542,16.121981580212626,0,0.036633622
2004/2005,2004-10-24,1,00:06:02.739,Barcelona,Xavier Hernández Creus,From Counter,0,Right Foot,Open Play,Normal,0,1,0,,102.8,39.0,17.22904524342542,26.102945597543393,0,0.23110269
2004/2005,2004-10-24,1,00:12:55.979,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Volley,1,0,0,,88.6,48.7,32.58297101247829,13.50837428777308,0,0.015338736
2004/2005,2004-10-24,1,00:25:18.280,Barcelona,Xavier Hernández Creus,From Throw In,0,Right Foot,Open Play,Normal,0,0,0,3df4cd5d-1b36-49ff-8d6e-4f7ebc30f1d3,96.0,45.9,24.71457060116562,17.889672200244892,0,0.060939174
2004/2005,2004-10-24,1,00:32:43.817,Barcelona,Xavier Hernández Creus,From Free Kick,0,Right Foot,Open Play,Volley,1,0,0,,101.9,32.4,19.63084307919555,21.406115241087225,0,0.023326792
2004/2005,2004-10-24,1,00:34:00.264,Barcelona,Ludovic Giuly,From Counter,0,Right Foot,Open Play,Normal,0,0,0,7623be72-d8a0-4101-9855-ac4ebf28bac3,107.4,54.0,18.83507366590319,16.570678310378806,0,0.07910097
2004/2005,2004-10-24,1,00:39:56.180,Barcelona,"Samuel Eto""o Fils",Regular Play,1,Left Foot,Open Play,Half Volley,1,0,0,890ae295-1959-42b2-84d6-ea48fe31c81f,103.5,26.4,21.382469455140114,16.65598730503699,1,0.03570752
2004/2005,2004-10-24,1,00:41:21.197,Barcelona,"Samuel Eto""o Fils",Regular Play,0,Right Foot,Open Play,Overhead Kick,0,0,0,,107.7,33.1,14.103191128251787,28.2802029028852,0,0.04880458
2004/2005,2004-10-24,1,00:43:38.202,Barcelona,Ronaldo de Assis Moreira,Other,0,Right Foot,Penalty,Normal,0,0,0,,108.0,39.9,12.000416659433121,36.86774916153752,1,0.76
2004/2005,2004-10-24,2,00:01:17.043,Barcelona,Ronaldo de Assis Moreira,From Throw In,0,Right Foot,Open Play,Half Volley,0,0,0,8ab0f0e2-dfd6-483e-b4f1-114d000b2171,84.3,34.1,36.18425071768103,12.452794386337766,0,0.0111783575
