season,match_date,period,timestamp,team,player,play_pattern,under_pressure,body_part,type,technique,first_time,one_on_one,open_goal,key_pass_id,start_location_x,start_location_y,distance,angle,goal,statsbomb_xg,xg
2018/2019,2019-03-17,1,00:17:13.830,Barcelona,Lionel Andrés Messi Cuccittini,From Free Kick,0,Foot,Free Kick,Normal,0,0,0,,95.6,44.4,24.793547547698783,18.057463209752946,1,0.12733692,0.12602852738587542
2018/2019,2019-03-17,1,00:24:28.346,Barcelona,Lionel Andrés Messi Cuccittini,From Free Kick,0,Foot,Free Kick,Normal,0,0,0,,94.0,46.1,26.70599183703912,16.6115216664824,0,0.09060272,0.0996909790199002
2018/2019,2019-03-17,1,00:39:16.313,Barcelona,Luis Alberto Suárez Díaz,Regular Play,0,Foot,Open Play,Normal,1,0,0,af55f0c3-fff3-4c57-ba83-b6f21ee01ca1,106.0,46.0,15.231546211727816,27.40757543781841,0,0.28120429999999996,0.2242288811881365
2018/2019,2019-03-17,1,00:40:37.545,Barcelona,Luis Alberto Suárez Díaz,Regular Play,0,Foot,Open Play,Normal,0,0,0,3b5ecc0f-3ce2-4c09-a283-3ef71e6e863f,110.8,51.6,14.805404418657401,19.91062613107141,0,0.086194605,0.13329347158401025
2018/2019,2019-03-17,1,00:44:11.705,Barcelona,Gerard Piqué Bernabéu,From Corner,1,Head,Open Play,Normal,0,0,0,a877f6f1-b767-4d9c-888d-dbc48dd23038,111.7,40.2,8.302409288875126,51.440300138370716,0,0.06593959,0.10932325277775967
2018/2019,2019-03-17,1,00:46:05.056,Barcelona,Lionel Andrés Messi Cuccittini,Regular Play,0,Foot,Open Play,Half Volley,1,0,0,98e87ccd-7082-4b8d-b54d-b893a268d5d8,109.1,37.8,11.119802156513405,39.00859737250821,1,0.46849537,0.30487060721968917
2018/2019,2019-03-17,2,00:01:31.705,Barcelona,Luis Alberto Suárez Díaz,From Free Kick,0,Foot,Open Play,Normal,0,0,0,,112.9,28.4,13.600367642089678,18.580294459780134,0,0.06254031,0.12366428349231862
2018/2019,2019-03-17,2,00:14:43.676,Barcelona,Luis Alberto Suárez Díaz,Regular Play,0,Foot,Open Play,Normal,0,1,1,465c3c3f-4672-4409-bb48-e6e0a607a065,117.4,30.7,9.656603957913983,15.069818083346748,0,0.524612,0.48785074568006725
2018/2019,2019-03-17,2,00:15:47.685,Barcelona,Luis Alberto Suárez Díaz,From Keeper,0,Foot,Open Play,Normal,0,1,0,,106.1,32.9,15.608331108738055,26.037059681125477,0,0.23515217,0.21014105330720517
2018/2019,2019-03-17,2,00:17:14.249,Barcelona,Luis Alberto Suárez Díaz,From Counter,0,Foot,Open Play,Normal,0,1,0,77c99a6b-463b-4169-a2ed-8e880686ff25,109.8,38.8,10.270345661174217,42.36280184036294,1,0.5626058,0.48052504321219025
2018/2019,2019-03-17,2,00:28:05.206,Barcelona,Luis Alberto Suárez Díaz,From Free Kick,0,Foot,Open Play,Normal,0,0,0,5b243e4a-e6ce-4c47-9da7-cebda31ed67d,107.4,49.4,15.720050890502865,23.56380051001232,0,0.08906352,0.16963627110819723
2018/2019,2019-03-17,2,00:31:03.834,Barcelona,Ivan Rakitić,From Corner,0,Foot,Open Play,Half Volley,0,0,0,8fa089d0-79d2-4b92-b50f-78585e1a6ae8,94.4,32.7,26.62048083712989,16.47168524586015,0,0.024023627999999998,0.022448897507721038
2018/2019,2019-03-17,2,00:37:46.503,Barcelona,Arturo Erasmo Vidal Pardo,From Kick Off,0,Foot,Open Play,Normal,1,0,0,5bae3025-22bd-4d07-a91c-402bbfea2e6e,102.5,27.1,21.740745157422733,17.044168335073962,0,0.07149817,0.07831857338874822
2018/2019,2019-03-17,2,00:39:20.150,Barcelona,Lionel Andrés Messi Cuccittini,From Corner,0,Foot,Open Play,Lob,1,0,0,ea4468bd-991d-45c5-8508-03f1435a399c,103.4,27.3,20.900956915892625,17.513187775700516,1,0.05023626,0.13329347158401025
2018/2019,2019-03-17,2,00:45:13.191,Barcelona,Arturo Erasmo Vidal Pardo,From Throw In,0,Foot,Open Play,Normal,0,0,0,86e4bf8c-03d8-4ca6-85f2-3c0f011c8750,95.6,49.9,26.331919793285113,16.07557301342357,0,0.029373892000000002,0.03587896656138016
